hhnum,food_insecure_flag_adult,adltfscat,foodsufficient,poverty_ratio,poverty_band,snap_any,foodpantry,household_size,num_adults,num_children,num_elderly,employed_adults,any_employed_adult,head_age,head_sex,head_hispanic,head_racecat,head_educcat,head_employment,region,rural,nonmetro,anyvehicle,vehiclenum,caraccess,dist_sm,dist_cs,dist_walmart,nearsnap_dist,nearff_dist,nearnonff_dist,fah_event_count,fah_storetype_unique,fafh_event_count,fafh_schoolmeal_events,targetgroup,hhwgt
100981,1,4,2,0.0,<=1.0 (at/below poverty),False,0,1,1,0,0,0,0,47.5,1,0,2,4.0,3,3,0,0,1,1,-996,0.86,0.55,3.6,0.11,0.29,0.21,6.0,0.0,8.0,0.0,4,47745.665497658
100984,1,4,2,0.9163831692032229,<=1.0 (at/below poverty),True,1,2,2,0,1,0,0,68.0,2,0,1,4.0,5,2,1,1,0,-996,0,0.68,0.69,11.33,0.19,0.78,0.04,6.0,0.0,1.0,0.0,4,52289.4474577888
100985,0,1,1,3.8633510723474003,2.0-4.0 (moderate),False,0,4,2,2,0,2,1,47.5,2,0,2,6.0,1,1,1,0,1,2,-996,1.59,2.55,6.03,1.59,1.35,0.27,4.0,0.0,32.0,0.0,3,54294.4811458851
100992,0,2,1,1.62604362194316,1.3-2.0 (low income),False,0,2,2,0,2,0,0,85.0,2,0,1,3.0,5,2,0,0,1,1,-996,0.98,0.55,3.57,0.55,0.48,0.52,3.0,0.0,5.0,0.0,2,10618.019129707
101000,1,4,3,1.58800014263302,1.3-2.0 (low income),True,0,1,1,0,0,0,0,27.5,2,0,1,4.0,5,3,0,0,1,1,-996,1.19,0.73,6.22,0.38,0.01,0.06,2.0,0.0,3.0,0.0,2,27163.9457314402
101011,0,1,1,1.6183656364588799,1.3-2.0 (low income),False,0,3,3,0,1,0,0,62.5,2,0,1,4.0,5,2,0,0,1,2,-996,2.87,0.72,2.97,0.67,0.65,0.65,11.0,0.0,4.0,0.0,4,37322.5299246942
101013,0,1,2,1.82632050134288,1.3-2.0 (low income),True,0,1,1,0,0,1,1,27.5,2,0,1,5.0,1,3,0,0,1,1,-996,0.22,0.65,2.18,0.22,0.1,0.15,6.0,0.0,3.0,0.0,2,4853.54963369955
101014,0,2,1,0.917457475380484,<=1.0 (at/below poverty),False,0,1,1,0,0,0,0,47.5,2,1,3,3.0,5,4,0,0,0,-996,0,1.04,0.17,2.34,0.14,0.46,0.16,3.0,0.0,2.0,0.0,1,9152.30015197889
101018,0,1,1,6.845986984815609,>4.0 (higher),False,0,4,2,2,0,1,1,47.5,2,0,1,5.0,5,2,0,0,1,2,-996,1.4,1.14,4.81,0.68,0.76,0.22,3.0,0.0,17.0,0.0,3,64217.0608436082
101019,1,4,2,0.902417188898836,<=1.0 (at/below poverty),False,0,1,1,0,0,1,1,47.5,2,0,1,4.0,1,3,0,0,1,2,-996,1.23,1.98,2.75,1.23,1.85,1.71,0.0,0.0,4.0,0.0,1,21584.9511634736
